DEBUG 2025-12-27 18:32:28,161 proactor_events Using proactor: IocpProactor
DEBUG 2025-12-27 18:32:47,219 proactor_events Using proactor: IocpProactor
DEBUG 2025-12-27 18:32:59,221 proactor_events Using proactor: IocpProactor
INFO 2025-12-27 18:33:36,605 autoreload Watching for file changes with StatReloader
INFO 2025-12-27 18:33:38,981 basehttp "GET / HTTP/1.1" 200 17971
INFO 2025-12-27 18:33:39,364 basehttp "GET /static/css/landing.css HTTP/1.1" 200 23295
INFO 2025-12-27 18:33:39,364 basehttp "GET /static/js/landing.js HTTP/1.1" 200 15037
WARNING 2025-12-27 18:33:40,397 log Not Found: /favicon.ico
WARNING 2025-12-27 18:33:40,398 basehttp "GET /favicon.ico HTTP/1.1" 404 3573
INFO 2025-12-27 18:33:58,592 middleware API Ýsteði - IP: 127.0.0.1 | Method: GET | Path: /api/docs/ | Durum: 200 | Süre: 0.06s | Kullanýcý: Anonim
INFO 2025-12-27 18:33:58,593 basehttp "GET /api/docs/ HTTP/1.1" 200 4460
INFO 2025-12-27 18:33:59,370 middleware API Ýsteði - IP: 127.0.0.1 | Method: GET | Path: /api/schema/ | Durum: 200 | Süre: 0.34s | Kullanýcý: Anonim
INFO 2025-12-27 18:33:59,371 basehttp "GET /api/schema/ HTTP/1.1" 200 204323
INFO 2025-12-27 18:34:09,065 middleware API Ýsteði - IP: 127.0.0.1 | Method: GET | Path: /api/v1/auth/register/ | Durum: 405 | Süre: 0.00s | Kullanýcý: Anonim
WARNING 2025-12-27 18:34:09,066 log Method Not Allowed: /api/v1/auth/register/
WARNING 2025-12-27 18:34:09,066 basehttp "GET /api/v1/auth/register/ HTTP/1.1" 405 46
INFO 2025-12-27 18:34:22,612 middleware API Ýsteði - IP: 127.0.0.1 | Method: GET | Path: /api/v1/auth/login/ | Durum: 405 | Süre: 0.00s | Kullanýcý: Anonim
WARNING 2025-12-27 18:34:22,613 log Method Not Allowed: /api/v1/auth/login/
WARNING 2025-12-27 18:34:22,614 basehttp "GET /api/v1/auth/login/ HTTP/1.1" 405 46
INFO 2025-12-27 18:34:38,952 basehttp "GET / HTTP/1.1" 200 17971
INFO 2025-12-27 18:34:59,814 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-12-27 18:35:00,006 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4223
INFO 2025-12-27 18:35:00,045 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-12-27 18:35:00,045 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-12-27 18:35:00,045 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
INFO 2025-12-27 18:35:00,046 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-12-27 18:35:00,046 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 21207
INFO 2025-12-27 18:35:00,144 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-12-27 18:35:00,144 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
DEBUG 2025-12-27 18:40:06,932 proactor_events Using proactor: IocpProactor
INFO 2025-12-27 18:42:06,109 autoreload Watching for file changes with StatReloader
INFO 2025-12-27 18:42:07,512 basehttp "GET / HTTP/1.1" 200 17971
INFO 2025-12-27 18:43:37,188 autoreload Watching for file changes with StatReloader
INFO 2025-12-27 18:43:38,413 basehttp "GET / HTTP/1.1" 200 17971
INFO 2025-12-27 18:43:45,868 basehttp "GET /admin/ HTTP/1.1" 302 0
